"","participant_id","system_generated_id","experiment_sequence","experiment_order","is_main_trial","task","visualization_size","trial_order","image_file_order","answering_time","answer","image_file_name","timestamp","page_name","answer_numeric"
"361","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",21,118,810.500000021," correct"," T2S2D3-18-s2_118_t1lt2lt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"371","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",22,82,696.999999986," correct"," T2S2D3-19-s2_82_t1rt2rt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"381","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",23,302,695.70000004," correct"," T2S2D3-attn-s2_302_t2l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"391","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",24,111,1161.8," correct"," T2S2D3-20-s2_111_t1rt2lt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"401","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",25,115,739.499999967," correct"," T2S2D3-21-s2_115_t1lt2lt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"411","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",26,94,692.19999999," correct"," T2S2D3-22-s2_94_t1rt2rt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"421","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",27,90,872.800000012," correct"," T2S2D3-23-s2_90_t1rt2rt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"431","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",28,102,953.399999999," correct"," T2S2D3-24-s2_102_t1rt2lt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"441","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",29,106,832.999999984," error"," T2S2D3-25-s2_106_t1lt2lt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",0
"451","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",30,89,1668.80000004," correct"," T2S2D3-26-s2_89_t1lt2rt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"461","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",31,303,2035.29999999," correct"," T2S2D3-attn-s2_303_t2r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"471","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",32,110,798.399999971," correct"," T2S2D3-27-s2_110_t1rt2lt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"481","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",33,107,1272.50000002," correct"," T2S2D3-28-s2_107_t1lt2lt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"491","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",34,87,786.699999997," correct"," T2S2D3-29-s2_87_t1lt2rt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"172","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",2,25,2042.19999997," correct"," T2S3D1-1-s3_25_t1lt2lt3l"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"182","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",3,37,1808.20000003," correct"," T2S3D1-2-s3_37_t1lt2lt3r"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"192","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",4,22,1681.50000001," correct"," T2S3D1-3-s3_22_t1rt2lt3l"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"202","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",5,3,1438.7," correct"," T2S3D1-4-s3_3_t1rt2rt3l"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"212","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",6,18,1706.59999998," correct"," T2S3D1-5-s3_18_t1lt2rt3r"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"222","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",7,300,1010.40000003," correct"," T2S3D1-attn-s3_300_t2l"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"232","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",8,10,1133.39999999," correct"," T2S3D1-6-s3_10_t1rt2rt3r"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"242","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",9,34,2629.69999999," correct"," T2S3D1-7-s3_34_t1rt2lt3r"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"252","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",10,29,1660.90000002," correct"," T2S3D1-8-s3_29_t1lt2lt3l"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"262","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",11,17,1060.79999998," correct"," T2S3D1-9-s3_17_t1lt2rt3r"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"272","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",12,2,1061.2," correct"," T2S3D1-10-s3_2_t1rt2rt3l"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"282","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",13,14,1315.70000004," correct"," T2S3D1-11-s3_14_t1rt2rt3r"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"292","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",14,1,1591.29999997," correct"," T2S3D1-12-s3_1_t1rt2rt3l"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
"302","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S3-D1",1," t2"," s3",15,301,965.10000003," correct"," T2S3D1-attn-s3_301_t2r"," 2021-03-24T10:55:43+0100"," trial_T2_S3_D1",1
